year,artist,song
2014,Zedd Featuring Hayley Williams,Stay The Night
2014,Coldplay,A Sky Full Of Stars
2014,Lady Gaga,Applause
2014,Mr. Probz,Waves
2014,Daft Punk Featuring Pharrell Williams,Get Lucky
2014,The Chainsmokers,#SELFIE
2014,Calvin Harris Featuring John Newman,Blame
2014,Tiesto Featuring Matthew Koma,Wasted
2014,Kiesza,Hideaway
2014,Tiesto,Red Lights
2014,Lana Del Rey & Cedric Gervais,Summertime Sadness
2014,Shakira,Dare (La La La)
2014,Cash Cash Featuring Bebe Rexha,Take Me Home
2014,Steve Aoki  Chris Lake & Tujamo Featuring Kid Ink,Delirious (Boneless)
2014,Afrojack Featuring Wrabel,Ten Feet Tall
2014,David Guetta & Showtek Featuring VASSY,Bad
2014,Zedd Featuring Matthew Koma & Miriam Bryant,Find You
2014,Britney Spears,Work B**ch!
2014,Alesso Featuring Tove Lo,Heroes (We Could Be)
2014,Tegan And Sara Featuring The Lonely Island,Everything Is AWESOME!!!
2014,Lil Jon Featuring Tyga,Bend Ova
2014,Zedd Featuring Foxes,Clarity
2014,Calvin Harris Featuring Ayah Marar,Thinking About You
2014,Duke Dumont Featuring Jax Jones,I Got U
2014,PSY Featuring Snoop Dogg,Hangover
2014,Lillywood & Robin Schulz,Prayer In C
2014,Chromeo,Jealous (I Ain't With It)
2014,David Guetta Featuring Sam Martin,Lovers On The Sun
2014,Skrillex With Kill The Noise  Fatman Scoop & Michael Angelakos,Recess
2014,Avicii,Addicted To You
2014,David Guetta Featuring Sam Martin,Dangerous
2014,ZHU,Faded
2014,Deorro,Five Hours
2014,Enrique Iglesias Featuring Pitbull,I'm A Freak
2014,Calvin Harris Featuring Ellie Goulding,I Need Your Love
2014,Avicii,You Make Me
2014,TryHardNinja,Take Back The Night
2014,Cazzette Featuring The High,Sleepless
2014,Timeflies,All The Way
2014,The Chainsmokers Featuring Siren,Kanye
2014,DVBBS & Borgeous,Tsunami
2014,Flux Pavilion,I Can't Stop
2014,David Guetta Featuring Skylar Grey,Shot Me Down
2014,Dillon Francis & DJ Snake,Get Low
2014,Royksopp & Robyn,Do It Again
2014,Disclosure Featuring Eliza Doolittle,You & Me
2014,Avicii,The Days
2014,Calvin Harris & Alesso Featuring Hurts,Under Control
2014,Calvin Harris Featuring Ellie Goulding,Outside
2014,Showtek Featuring We Are Loud! & Sonny Wilson,Booyah
2014,Route 94 Featuring Jess Glynne,My Love
2014,Icona Pop,All Night
2014,Linkin Park X Steve Aoki,A Light That Never Comes
2014,Keys 'N Krates,Dum Dee Dum
2014,Klingande,Jubel
2014,Hardwell Featuring Matthew Koma,Dare You
2014,Martin Garrix & Jay Hardway,Wizard
2014,Skrillex With Ragga Twins,Ragga Bomb
2014,Basement Jaxx,Never Say Never
2014,Steve Aoki  Chris Lake & Tujamo,Boneless
2014,Sander van Doorn  Martin Garrix  DVBBS Featuring Aleesia,Gold Skies
2014,3LAU Featuring Bright Lights,How You Love Me
2014,Diplo GTA,Boy Oh Boy
2014,Porter Robinson Featuring Urban Cone,Lionhearted
2014,Afrojack Featuring Spree Wilson,The Spark
2014,Bingo Players,Knock You Out
2014,Steve Aoki Featuring Waka Flocka Flame,Rage The Night Away
2014,Diplo Featuring Faustix & Imanos & Kai,Revolution
2014,Steve Aoki  Diplo & Deorro Featuring Steve Bays,Freak
2014,Krewella,Enjoy The Ride
2014,Sigma,Nobody To Love
2014,Nicky Romero VS Krewella,Legacy
2014,DJ Snake Featuring Alesia,Bird Machine
2014,Dimitri Vegas & Martin Garrix & Like Mike,Tremor (Sensation 2014 Anthem)
2014,Seven Lions With Myon & Shane 54 Featuring Tove Lo,Strangers
2014,Grimes Featuring Blood Diamond,Go!
2014,Skrillex With Alvin Risk,Try It Out
2014,Oliver Heldens X Becky Hill,Gecko (Overdrive)
2014,Stromae,Papaoutai
2014,Calvin Harris Featuring Big Sean,Open Wide
2014,Steve Angello Featuring Dougy,Wasted Love
2014,Noisia,Tommy's Theme
2014,Kylie Minogue,Into The Blue
2014,ODESZA Featuring Zyra,Say My Name
2014,Disclosure Featuring Mary J. Blige,F For You
2014,DJ Fresh Vs. Diplo Featuring Dominique Young Unique,Earthquake
2014,Cole Plante With Myon & Shane 54 Featuring Koko LaRoo,Lie To Me
2014,M.I.A.,Y.A.L.A.
2014,Cash Cash,Surrender
2014,Rokelle Featuring Dave Aude,Take Me Away
2014,Dawin,Just Girly Things
2014,Deborah Cox Featuring Paige,Higher
2015,Major Lazer & DJ Snake Featuring MO,Lean On
2015,Skrillex & Diplo With Justin Bieber,Where Are U Now
2015,David Guetta Featuring Nicki Minaj  Bebe Rexha & Afrojack,Hey Mama
2015,DJ Snake & AlunaGeorge,You Know You Like It
2015,Mr. Probz,Waves
2015,Calvin Harris Featuring Ellie Goulding,Outside
2015,Lillywood & Robin Schulz,Prayer In C
2015,Calvin Harris Featuring John Newman,Blame
2015,Calvin Harris & Disciples,How Deep Is Your Love
2015,Zedd Featuring Selena Gomez,I Want You To Know
2015,Clean Bandit Featuring Jess Glynne,Rather Be
2015,Alesso Featuring Tove Lo,Heroes (We Could Be)
2015,Ariana Grande Featuring Zedd,Break Free
2015,Zedd Featuring Jon Bellion,Beautiful Now
2015,Jess Glynne,Hold My Hand
2015,David Guetta Featuring Sam Martin,Dangerous
2015,Deorro & Chris Brown,Five More Hours
2015,Coldplay,A Sky Full Of Stars
2015,Disclosure Featuring Sam Smith,Omen
2015,Kygo Featuring Parson James,Stole The Show
2015,Major Lazer Featuring Ellie Goulding & Tarrus Riley,Powerful
2015,Avicii,The Nights
2015,Kygo Featuring Conrad,Firestone
2015,Galantis,Runaway (U & I)
2015,The Chainsmokers Featuring Rozes,Roses
2015,Avicii,Waiting For Love
2015,Martin Garrix Featuring Usher,Don't Look Down
2015,Dillon Francis & DJ Snake,Get Low
2015,Madonna Featuring Nicki Minaj,B**** I'm Madonna
2015,AronChupa,I'm An Albatraoz
2015,Years & Years,King
2015,Afrojack Featuring Mike Taylor,SummerThing!
2015,Felix Jaehn Featuring Jasmine Thompson,Ain't Nobody (Loves Me Better)
2015,Calvin Harris Featuring HAIM,Pray To God
2015,Calvin Harris,Summer
2015,Robin Schulz Featuring Francesco Yates,Sugar
2015,Audien Featuring Lady Antebellum,Something Better
2015,Alesso Featuring Roy English,Cool
2015,Galantis,Peanut Butter Jelly
2015,Tiesto & KSHMR Featuring Vassy,Secrets
2015,Dawin,Dessert
2015,Jeremih Featuring Flo Rida,Tonight Belongs To U!
2015,Madonna,Living For Love
2015,Sam Feldt Featuring Kimberly Anne,Show Me Love
2015,Robin Schulz Featuring Ilsey,Headlights
2015,Calvin Harris Featuring Big Sean,Open Wide
2015,Axwell & Ingrosso,Something New
2015,Disclosure Featuring Lorde,Magnets
2015,Lost Frequencies,Are You With Me
2015,Armin van Buuren Featuring Mr. Probz,Another You
2015,Disclosure Featuring Gregory Porter,Holding On
2015,DJ Snake & Lil Jon,Turn Down For What
2015,Skrillex & Diplo Featuring Kiesza,Take U There
2015,Axwell & Ingrosso,Sun Is Shining
2015,Steve Aoki & Moxie Raia,I Love It When You Cry (Moxoki)
2015,Avicii,The Days
2015,Sigala,Easy Love
2015,Martin Solveig & GTA,Intoxicated
2015,Dillon Francis & Kygo Featuring James Hersey,Coming Over
2015,Kygo Featuring Ella Henderson,Here For You
2015,Yogi  Skrillex  Pusha T  Moody Good & Trollphace,Burial
2015,Major Lazer Featuring Wild Belle,Be Together
2015,Skrillex & Diplo Featuring AlunaGeorge,To U
2015,Wyclef Featuring Avicii,Divine Sorrow
2015,Clean Bandit & Jess Glynne,Real Love
2015,Major Lazer Featuring Ariana Grande & Michel Montano,All My Love
2015,ODESZA Featuring Zyra,Say My Name
2015,ODESZA Featuring Shy Girls,All We Need
2015,TryHardNinja,It's Me
2015,Avicii,For A Better Day
2015,The Chainsmokers Featuring Great Good Fine OK,Let You Go
2015,Duke Dumont,Ocean Drive
2015,Axwell & Ingrosso,On My Way
2015,Cazzette Featuring Terri B!,Blind Heart
2015,Matoma & The Notorious B.I.G. Featuring Ja Rule & Ralph Tresvant,Old Thing Back
2015,Diplo & Sleepy Tom,Be Right There
2015,Cash Cash,Surrender
2015,A-Trak + Milo & Otis Featuring Rich Kidz,Out The Speakers
2015,The Chainsmokers Featuring Siren,Kanye
2015,Robin Schulz Featuring Jasmine Thompson,Sun Goes Down
2015,Kaskade Featuring Ilsey,Disarm You
2015,Avicii,Broken Arrows
2015,ZHU,Faded
2015,Kaskade,Never Sleep Alone
2015,Yellow Claw Featuring Ayden,Till It Hurts
2015,Madeon Featuring Kyan,You're On
2015,Cash Cash Featuring Busta Rhymes  B.o.B & Neon Hitch,Devil
2015,Mr. Probz,Nothing Really Matters
2015,Giorgio Moroder Featuring Sia,Deja Vu
2015,Gorgon City Featuring Jennifer Hudson,Go All Night
2015,Alesso Featuring Sirena,Sweet Escape
2015,Lil Jon Featuring Tyga,Bend Ova
2015,AlunaGeorge,You Know You Like It
2015,Zedd Featuring Bahari,Addicted To A Memory
2015,Martin Garrix & MOTi,Virus (How About Now)
2015,Cazzette Featuring Netwimers,Together
2015,Tritonal & Cash Cash,Untouchable
2015,DJ Snake Featuring Bipolar Sunshine,Middle
2015,Mystery Skulls,Ghost
2015,Audien Featuring Parson James,Insomnia
2016,The Chainsmokers Featuring Daya,Don't Let Me Down
2016,The Chainsmokers Featuring Halsey,Closer
2016,Calvin Harris Featuring Rihanna,This Is What You Came For
2016,Major Lazer Featuring Justin Bieber & MO,Cold Water
2016,The Chainsmokers Featuring Rozes,Roses
2016,Zara Larsson & MNEK,Never Forget You
2016,DJ Snake Featuring Justin Bieber,Let Me Love You
2016,Flume Featuring Kai,Never Be Like You
2016,DJ Snake Featuring Bipolar Sunshine,Middle
2016,Major Lazer & DJ Snake Featuring MO,Lean On
2016,Kungs vs Cookin' On 3 Burners,This Girl
2016,Robin Schulz Featuring Francesco Yates,Sugar
2016,Major Lazer Featuring Nyla & Fuse ODG,Light It Up
2016,Skrillex & Diplo With Justin Bieber,Where Are U Now
2016,Martin Garrix & Bebe Rexha,In The Name Of Love
2016,Alan Walker,Faded
2016,Calvin Harris & Disciples,How Deep Is Your Love
2016,Jonas Blue Featuring Dakota,Fast Car
2016,Calvin Harris,My Way
2016,Skrillex & Rick Ross,Purple Lamborghini
2016,Galantis,No Money
2016,Dawin,Dessert
2016,Kygo Featuring Maty Noyes,Stay
2016,David Guetta Featuring Sia & Fetty Wap,Bang My Head
2016,Mike Perry Featuring Shy Martin,The Ocean
2016,Marshmello,Alone
2016,Jonas Blue Featuring JP Cooper,Perfect Strangers
2016,Cheat Codes x Kris Kross Amsterdam,Sex
2016,Disclosure Featuring Lorde,Magnets
2016,Cheat Codes & Dante Klein,Let Me Hold You (Turn Me On)
2016,Yellow Claw & DJ Mustard Featuring Ty Dolla $ign & Tyga,In My Room
2016,Diplo & Sleepy Tom,Be Right There
2016,David Guetta Featuring Zara Larsson,This One's For You
2016,Matoma & Astrid S,Running Out
2016,Zedd & Aloe Blacc,Candyman
2016,PSY Featuring CL,Daddy
2016,The Chainsmokers Featuring Charlee,Inside Out
2016,Dillon Francis & Kygo Featuring James Hersey,Coming Over
2016,Jess Glynne,Hold My Hand
2016,Deorro Featuring Pitbull & Elvis Crespo,Bailar
2016,Hermitude Featuring Big K.R.I.T.  Mataya & Young Tapz,The Buzz
2016,Era Istrefi,Bonbon
2016,ZHU x Skrillex x THEY,Working For It
2016,Alesso Featuring Nico & Vinz,I Wanna Know
2016,Matoma & Becky Hill,False Alarm
2016,Clean Bandit Featuring Louisa Johnson,Tears
2016,David Guetta Featuring Nicki Minaj  Bebe Rexha & Afrojack,Hey Mama
2016,Charly Black,Gyal You A Party Animal
2016,Alan Walker,Sing Me To Sleep
2016,ayokay Featuring Quinn XCII,Kings Of Summer
2016,Kygo Featuring Julia Michaels,Carry Me
2016,Disclosure Featuring Sam Smith,Omen
2016,Kygo Featuring Kodaline,Raging
2016,DJ Snake Featuring George Maple,Talk
2016,The Chainsmokers & Tritonal Featuring Emily Warren,Until You Were Gone
2016,Cash Cash Featuring Sofia Reyes,How To Love
2016,Afrojack Featuring Ty Dolla $ign,Gone
2016,DJ Snake & AlunaGeorge,You Know You Like It
2016,AlunaGeorge Featuring Popcaan,I'm In Control
2016,DJ Snake Featuring Jeremih  Young Thug & Swizz Beatz,The Half
2016,Rain Man Featuring OLY,Bring Back The Summer
2016,Snakehips Featuring Zayn,Cruel
2016,Kygo Featuring Ella Henderson,Here For You
2016,Cash Cash & Digital Farm Animals Featuring Nelly,Millionaire
2016,Steve Aoki & Boehm Featuring WALK THE MOON,Back 2 U
2016,Dimitri Vegas & Like Mike Featuring Ne-Yo,Higher Place
2016,Gryffin And Bipolar Sunshine,Whole Heart
2016,Duke Dumont,Ocean Drive
2016,Shoffy Featuring Lincoln Jesser,Takes My Body Higher
2016,Porter Robinson & Madeon,Shelter
2016,Big Gigantic Featuring Logic & ROZES,All Of Me
2016,Audien Featuring Lady Antebellum,Something Better
2016,Gryffin Featuring Josef Salvat,Heading Home
2016,Alex Newell  Jess Glynne & DJ Cassidy With Nile Rodgers,Kill The Lights
2016,Mako,Smoke Filled Room
2016,Skrillex & Diplo Featuring Kai,Mind
2016,Empire Of The Sun,High And Low
2016,99 Souls Featuring Destiny's Child & Brandy,The Girl Is Mine
2016,Avicii,Broken Arrows
2016,The Chainsmokers,New York City
2016,Marshmello Featuring Omar LinX,Keep It Mello
2016,Fais Featuring Afrojack,Hey
2016,Benny Benassi & Chris Brown,Paradise
2016,GTA Featuring Sam Bruno,Red Lips
2016,Petit Biscuit,Sunset Lover
2016,Caravan Palace,Lone Digger
2016,Madden Featuring 6AM,Golden Light
2016,Audien Featuring Deb's Daughter,Crazy Love
2016,ZHU x AlunaGeorge,Automatic
2016,Jess Glynne,Don't Be So Hard On Yourself
2016,Tiesto + Oliver Heldens Featuring Natalie La Rose,The Right Song
2016,Sigala,Easy Love
2016,Tritonal Featuring Steph Jones,Blackout
2016,The Chainsmokers Featuring XYLO,Setting Fires
2016,Grimes,Flesh Without Blood
2016,3LAU Featuring Yeah Boy,Is It Love
2016,Louis The Child Featuring k.flay,It's Strange
2016,Mura Masa Featuring A$AP Rocky,Love$ick
2016,Galantis & Hook N Sling,Love On Me
2016,DVBBS & Shaun Frank Featuring Delaney Jane,La La Land
2017,The Chainsmokers & Coldplay,Something Just Like This
2017,The Chainsmokers Featuring Halsey,Closer
2017,Zedd & Alessia Cara,Stay
2017,Kygo x Selena Gomez,It Ain't Me
2017,DJ Snake Featuring Justin Bieber,Let Me Love You
2017,Clean Bandit Featuring Sean Paul & Anne-Marie,Rockabye
2017,The Chainsmokers,Paris
2017,Calvin Harris Featuring Frank Ocean & Migos,Slide
2017,Cheat Codes Featuring Demi Lovato,No Promises
2017,Calvin Harris Featuring Pharrell Williams  Katy Perry & Big Sean,Feels
2017,Calvin Harris Featuring Rihanna,This Is What You Came For
2017,David Guetta Featuring Justin Bieber,2U
2017,The Chainsmokers Featuring Daya,Don't Let Me Down
2017,Major Lazer Featuring Justin Bieber & MO,Cold Water
2017,Martin Garrix & Bebe Rexha,In The Name Of Love
2017,Marshmello Featuring Khalid,Silence
2017,Martin Garrix & Dua Lipa,Scared To Be Lonely
2017,Katy Perry Featuring Nicki Minaj,Swish Swish
2017,Clean Bandit Featuring Zara Larsson,Symphony
2017,Starley,Call On Me
2017,Major Lazer Featuring Travis Scott  Camila Cabello & Quavo,Know No Better
2017,Calvin Harris Featuring Future & Khalid,Rollin
2017,Jonas Blue Featuring William Singe,Mama
2017,Steve Aoki & Louis Tomlinson,Just Hold On
2017,Major Lazer Featuring PARTYNEXTDOOR & Nicki Minaj,Run Up
2017,Kygo & Ellie Goulding,First Time
2017,Zedd & Liam Payne,Get Low
2017,The Chainsmokers,Honest
2017,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,Let Me Go
2017,Axwell & Ingrosso,More Than You Know
2017,Martin Garrix x Troye Sivan,There For You
2017,Calvin Harris,My Way
2017,The Chainsmokers Featuring XYLO,Setting Fires
2017,The Chainsmokers,The One
2017,Bag Raiders,Shooting Stars
2017,Jax Jones Featuring RAYE,You Don't Know Me
2017,Martin Jensen,Solo Dance
2017,Marshmello Featuring Wrabel,Ritual
2017,Flume Featuring Kai,Never Be Like You
2017,Skrillex Featuring Poo Bear,Would You Ever
2017,Selena Gomez X Marshmello,Wolves
2017,Lady Gaga,Bad Romance
2017,Avicii Featuring Rita Ora,Lonely Together
2017,Calvin Harris Featuring Young Thug  Pharrell Williams & Ariana Grande,Heatstroke
2017,Skrillex & Rick Ross,Purple Lamborghini
2017,Axwell & Ingrosso Featuring Kid Ink,I Love You
2017,Robin Schulz & David Guetta & Cheat Codes,Shed A Light
2017,San Holo,Light
2017,OneRepublic With Seeb,Rich Love
2017,Calvin Harris Featuring Kehlani & Lil Yachty,Faking It
2017,Lady Gaga,Poker Face
2017,Jonas Blue Featuring RAYE,By Your Side
2017,Marshmello,Moving On
2017,Avicii Featuring Sandro Cavazza,Without You
2017,The Chainsmokers,Young
2017,Jax Jones Featuring Demi Lovato & Stefflon Don,Instruction
2017,Gryffin And Illenium Featuring Daya,Feel Good
2017,Petit Biscuit,Sunset Lover
2017,Marshmello,Alone
2017,Gorillaz Featuring D.R.A.M.,Andromeda
2017,Alan Walker,Alone
2017,The Chainsmokers,Break Up Every Night
2017,DVBBS X CMC$ Featuring Gia Koka,Not Going Home
2017,Kygo Featuring Justin Jesso,Stargazing
2017,DJ Snake Featuring Lauv,A Different Way
2017,David Guetta Featuring Nicki Minaj & Lil Wayne,Light My Body Up
2017,Lady Gaga Featuring Colby O'Donis,Just Dance
2017,Robin Schulz Featuring James Blunt,OK
2017,Alok  Bruno Martini  Zeeba,Hear Me Now
2017,KREAM Featuring Clara Mae,Taped Up Heart
2017,The Chainsmokers Featuring Emily Warren,My Type
2017,Alesso,Falling
2017,Mura Masa Featuring A$AP Rocky,Love$ick
2017,Cash Cash Featuring Conor Maynard,All My Love
2017,Alan Walker Featuring Gavin James,Tired
2017,NEIKED Featuring Dyo,Sexual
2017,Ahrix,Nova
2017,ODESZA Featuring WYNNE & Mansionair,Line Of Sight
2017,Empire Of The Sun,High And Low
2017,Nause Featuring Pretty Sister,Dynamite
2017,Kungs vs Cookin' On 3 Burners,This Girl
2017,Marshmello,Find Me
2017,Grey Featuring Bahari,I Miss You
2017,The Chainsmokers,Bloodstream
2017,Cheat Codes Featuring Fetty Wap & CVBZ,Feels Great
2017,Sigala & Ella Eyre,Came Here For Love
2017,The Chainsmokers Featuring Louane,It Won't Kill Ya
2017,Calvin Harris Featuring Travis Scott & A-Trak,Prayers Up
2017,Galantis & Hook N Sling,Love On Me
2017,Galantis,Hunter
2017,The Chainsmokers Featuring Emily Warren,Don't Say
2017,Lady Gaga Featuring Beyonce,Telephone
2017,ODESZA Featuring Naomi Wild,Higher Ground
2017,The Chainsmokers Featuring Florida Georgia Line,Last Day Alive
2017,Lost Kings Featuring Emily Warren,Phone Down
2017,Sigma Featuring Birdy,Find Me
2017,Dillon Francis Featuring G-Eazy,Say Less
2017,R3HAB Featuring Verite,Trouble
2017,Hardwell & Austin Mahone,Creatures Of The Night
2017,Alesso,Take My Breath Away
2018,Zedd  Maren Morris & Grey,The Middle
2018,Selena Gomez X Marshmello,Wolves
2018,The Chainsmokers & Coldplay,Something Just Like This
2018,Calvin Harris & Dua Lipa,One Kiss
2018,Marshmello Featuring Khalid,Silence
2018,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,Let Me Go
2018,Marshmello & Bastille,Happier
2018,Tiesto & Dzeko Featuring Preme & Post Malone,Jackie Chan
2018,Clean Bandit Featuring Demi Lovato,Solo
2018,Kygo Featuring Miguel,Remind Me To Forget
2018,DJ Snake Featuring Selena Gomez  Ozuna & Cardi B,Taki Taki
2018,Zedd & Alessia Cara,Stay
2018,Cheat Codes Featuring Demi Lovato,No Promises
2018,Calvin Harris & Sam Smith,Promises
2018,Clean Bandit Featuring Julia Michaels,I Miss You
2018,Martin Garrix Featuring Khalid,Ocean
2018,Sofi Tukker Featuring NERVO  The Knocks & Alisa Ueno,Best Friend
2018,Jonas Blue Featuring Jack & Jack,Rise
2018,Loud Luxury Featuring Brando,Body
2018,Kygo x Selena Gomez,It Ain't Me
2018,The Chainsmokers Featuring Emily Warren,Side Effects
2018,Zedd & Elley Duhe,Happy Now
2018,Kygo & Imagine Dragons,Born To Be Yours
2018,Silk City x Dua Lipa,Electricity
2018,Calvin Harris Featuring Kehlani & Lil Yachty,Faking It
2018,Cheat Codes Featuring Fetty Wap & CVBZ,Feels Great
2018,The Chainsmokers & Drew Love,Somebody
2018,David Guetta & Sia,Flames
2018,The Chainsmokers Featuring Kelsea Ballerini,This Feeling
2018,Jason Derulo X David Guetta Featuring Nicki Minaj & Willy William,Goodbye
2018,Sean Paul + David Guetta Featuring Becky G,Mad Love
2018,David Guetta Featuring Anne-Marie,Don't Leave Me Alone
2018,David Guetta  Martin Garrix & Brooks,Like I Do
2018,Dynoro & Gigi D'Agostino,In My Mind
2018,Cash Cash Featuring Abir,Finest Hour
2018,Martin Garrix & David Guetta Featuring Jamie Scott & Romy Dya,So Far Away
2018,The Chainsmokers,Everybody Hates Me
2018,Louis The Child Featuring Wafia,Better Not
2018,Cashmere Cat  Major Lazer & Tory Lanez,Miss You
2018,Gryffin With Elley Duhe,Tie Me Down
2018,Alan Walker  Noah Cyrus & Digital Farm Animals,All Falls Down
2018,Avicii Featuring Rita Ora,Lonely Together
2018,Kygo Featuring Justin Jesso,Stargazing
2018,Diplo Featuring MO,Get It Right
2018,Cheat Codes & Little Mix,Only You
2018,DJ Snake Featuring Lauv,A Different Way
2018,Marshmello Featuring Leah Culver,Fly
2018,Alan Walker Featuring Au/Ra & Tomine Harket,Darkside
2018,Avicii,Wake Me Up!
2018,Jax Jones Featuring Ina Wroldsen,Breathe
2018,Tiesto  Gucci Mane & Sevenn,Boom
2018,Steve Aoki  Daddy Yankee  Play-N-Skillz & Elvis Crespo,Azukita
2018,Sabrina Carpenter & Jonas Blue,Alien
2018,Martin Garrix Featuring Bonn,High On Life
2018,Years & Years,If You're Over Me
2018,Kygo Featuring OneRepublic,Stranger Things
2018,Axwell & Ingrosso Featuring Trevor Guthrie,Dreamer
2018,Avicii,Levels
2018,DJ Snake,Magenta Riddim
2018,David Guetta & Afrojack Featuring Charli XCX And French Montana,Dirty Sexy Money
2018,The Knocks Featuring Foster The People,Ride Or Die
2018,Alesso,Remedy
2018,Avicii Featuring Sandro Cavazza,Without You
2018,Kris Kross Amsterdam x The Boy Next Door Featuring Conor Maynard,Whenever
2018,RL Grime Featuring Daya,I Wanna Know
2018,Steve Aoki & Lauren Jauregui,All Night
